Ime in priimek	Spol	Rojstvo	Smrt	Naslov	Oznaka	Letnica nastanka	Letnica vira	Letnica digitalizirane izdaje	Obdobje	Število besed	Kanoničnost 	Število ponatisov	Status	Signatura	URL	ALT URL
"Malovrh, Miroslav"	m	1861	1922	Kralj Matjaž	Zgodovinska povest	1904		2015	D	"61,395"	NE		OK	SLV00455	WIKI00455	
"Prelesnik, Matija"	m	1872	1905	V smrtni senci	Baltiška povest	1904		2015	D	"70,603"	NE		OK	SLV00454	WIKI00454	
"Prelesnik, Matija"	m	1872	1905	Naš stari greh	Polabska povest	1903		2015	D	"63,180"	NE		OK	SLV00452	WIKI00452	
"Gruden, Josip"	m	1869	1922	Na vojvodskem prestolu	Povest iz slovenske starodavnosti	1901		2015	D	"32,552"	NE		OK	SLV00425	WIKI00425	
"Trošt, Ivo"	m	1865	1937	Temni oblaki	Povest	1895		2015	C	"32,011"	NE		OK	SLV00421	WIKI00421	
"Pregelj, Ivan"	m	1883	1960	Tlačani	Roman iz osemnajstega stoletja	1915-1916		2015	D	"71,634"	DA		OK	SLV00417	WIKI00417	
"Cankar, Ivan"	m	1876	1918	Tujci		1901		2015	D	"43,930"	DA		OK	SLV00410	WIKI00410	
"Tavčar, Ivan"	m	1851	1923	Izza kongresa	Zgodovinski roman	1905-1908		2015	D	"94,723"	DA		OK	SLV00406	WIKI00406	
"Cankar, Ivan"	m	1876	1918	Na klancu		1902		2015	D	"59,234"	DA		OK	SLV00401	WIKI00401	
"Cankar, Ivan"	m	1876	1918	Martin Kačur	Življenjepis idealista	1906		2015	D	"40,481"	DA		OK	SLV00398	WIKI00398	
"Zbašnik, Fran"	m	1855	1935	Pisana mati	Povest	1909		2015	D	"69,977"	NE		OK	SLV00391	WIKI00391	
"Jaklič, Fran"	m	1868	1937	"O, ta testament"	Novela	1900		2015	D	"56,991"	NE		OK	SLV00373	WIKI00373	
"Detela, Fran"	m	1850	1926	Novo življenje	Povest	1908		2015	D	"43,379"	DA		OK	SLV00364	WIKI00364	
"Detela, Fran"	m	1850	1926	Malo življenje	Povest	1882		2015	C	"56,394"	NE		OK	SLV00363	WIKI00363	
"Kraigher, Alojz"	m	1877	1959	Mlada ljubezen		1917		2015	D	"76,484"	DA		OK	SLV00355	WIKI00355	
"Fatur, Lea"	ž	1865	1943	Komisarjeva hči	Zgodovinska povest	1910		2015	D	"58,623"	NE		OK	SLV00352	WIKI00352	
