ID	Name	VIAF	Gender	Birth	Death	Title	Subtitle	Printed	Digitised	Period	Size	Canon	Words	Tokens
SLV00497	Finžgar, Fran Saleški	viaf:56648253	M	1871	1962	Moja duša vasuje		1903	2015-04-03	T4	short	high	31040	38083
SLV00498	Finžgar, Fran Saleški	viaf:56648253	M	1871	1962	Sama	Povest	1912	2015-04-03	T4	medium	high	49703	63482
SLV00502	Fatur, Lea	viaf:170052698	F	1865	1943	V burji in strasti	Povest	1905	2015-04-03	T4	short	low	34759	42057
SLV00506	Fatur, Lea	viaf:170052698	F	1865	1943	Za Adrijo	Povest iz uskoško-benečanskih bojev	1909	2015-04-03	T4	long	low	101176	127469
SLV00526	Murnik, Rado	viaf:66026290	M	1870	1932	Hči grofa Blagaja	Roman	1911	2015-04-03	T4	long	low	112663	137306
SLV10001	Cankar, Ivan	viaf:56657726	M	1876	1918	Hiša Marije Pomočnice		1904	2019	T4	short	high	29977	36148
SLV10002	Carli Lukovič, Alojz	viaf:50937590	M	1846	1891	Zadnji dnevi v Ogleju	Izviren roman iz petega stoletja	1876	2009	T2	short	low	35950	45253
SLV10003	Cigler, Janez	viaf:247997342	M	1792	1867	Sreča v nesreči	Popisovanje čudne zgodbe dveh dvojčkov	1836	2007	T1	short	high	33662	40818
SLV10004	Fajdiga, Ivan	viaf:6786157470209622640003	M	1854	1935	Nebesa	Roman	1905	2019	T4	short	low	37544	46950
SLV10005	Finžgar, Fran Saleški	viaf:56648253	M	1871	1962	Pod svobodnim soncem		1907	2019	T4	long	high	139037	171094
SLV10006	Jelenc, Vitomir Feodor	viaf:66265062	M	1885	1922	Žena	Roman	1910	2018	T4	short	low	37870	43373
SLV10007	Jurčič, Josip	viaf:54483391	M	1844	1881	Deseti brat	Izvirni roman	1866	2008	T2	medium	high	66498	81046
SLV10008	Jurčič, Josip	viaf:54483391	M	1844	1881	Med dvema stoloma	Izviren roman	1876	2008	T2	short	high	21472	26831
SLV10009	Jurčič, Josip	viaf:54483391	M	1844	1881	Doktor Zober	Izviren roman	1876	2008	T2	short	high	34290	41658
SLV10010	Jurčič, Josip	viaf:54483391	M	1844	1881	Ivan Erazem Tatenbah	Izviren historičen roman iz sedemnajstega veka slovenske zgodovine	1873	2008	T2	short	high	22387	27059
